name,brand,barcode,category,subcategory,calories,protein,carbs,fat,saturated_fat,fiber,sugar,sodium,serving_size_g,serving_description,ingredients,allergens,is_per_unit,is_verified,portions
Big Mac,McDonald's,,Fast Food,Burgers,508,26,43,25,10,3,9,950,215,1 burger,"Big Mac Bun: WHEAT Flour (contains Calcium Carbonate, Niacin, Iron, Folic Acid, Thiamin), Water, Sugar, Rapeseed Oil, SESAME Seeds, Potato Starch, Salt, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Pea Protein, Antioxidant (Ascorbic Acid), Maize Maltodextrin, Dextrose, Maize Starch, WHEAT Starch, Natural Flavouring.

Beef Patty: 100% Pure Beef. No additives, fillers, binders, preservatives or flavour enhancers. Just pure forequarter and flank. A little salt and pepper is added to season after cooking.

Lettuce: 100% Iceberg Lettuce.

Big Mac Sauce: Water, Rapeseed Oil, Gherkin, Spirit Vinegar, Sugar, Modified Maize Starch, Free Range EGG Yolk, Spices (contain MUSTARD), Salt, Glucose-Fructose Syrup, Thickener (Xanthan Gum), Natural Flavourings, Firming Agent (Calcium Chloride).

Cheddar Cheese Slices: Vegetarian Cheddar (51%) (MILK), Water, Vegetarian Cheese (9%) (MILK), Whey Powder (MILK), Butter (MILK), Emulsifying Salts (Trisodium Citrate, Tripotassium Citrate, Citric Acid), Milk Protein (MILK), Natural Cheese Flavouring (MILK), Salt, Colours (Carotene, Paprika Extract), Anti-Caking Agent (Lecithins).

Pickle Slices: Gherkins, Water, Spirit Vinegar, Salt, Firming Agent (Calcium Chloride), Natural Flavouring, Preservative (Potassium Sorbate).

Onions: 100% Onion.","Wheat, Milk, Sesame, Eggs, Mustard",true,true,
Quarter Pounder with Cheese,McDonald's,,Fast Food,Burgers,518,31,38,27,13,2,9,1100,202,1 burger,"Quarter Pounder Bun: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Water, Sugar, Cream Yeast, SESAME Seeds, Vegetable Oil (Rapeseed, Coconut), Salt, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Pea Protein, Antioxidant (Ascorbic Acid), Natural Flavouring.

Beef Patty: 100% Pure Beef. A little salt and pepper is added to season after cooking.

Cheddar Cheese Slices: Vegetarian Cheddar (51%) (MILK), Water, Vegetarian Cheese (9%) (MILK), Whey Powder (MILK), Butter (MILK), Emulsifying Salts (Trisodium Citrate, Tripotassium Citrate, Citric Acid), MILK Protein, Natural Cheese Flavouring (MILK), Salt, Colours (Carotene, Paprika Extract), Anti-Caking Agent (Lecithins).

Ketchup: Tomatoes, Spirit Vinegar, Sugar, Salt, Spice & Herb Extracts, Spice.

Mustard: Water, Spirit Vinegar, MUSTARD Seed, Salt, Sugar, Natural Flavouring.

Onions: 100% Onion.

Pickle Slices: Gherkins, Water, Spirit Vinegar, Salt, Firming Agent (Calcium Chloride), Natural Flavouring, Preservative (Potassium Sorbate).","Wheat, Milk, Sesame, Mustard",true,true,
Double Quarter Pounder with Cheese,McDonald's,,Fast Food,Burgers,740,48,38,43,21,2,9,1300,283,1 burger,"Quarter Pounder Bun: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Water, Sugar, Cream Yeast, SESAME Seeds, Vegetable Oil (Rapeseed, Coconut), Salt, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters), Pea Protein, Antioxidant (Ascorbic Acid), Natural Flavouring.

Beef Patties: Two 100% Pure Beef quarter-pound patties. A little salt and pepper is added to season after cooking.

Cheddar Cheese Slices: Vegetarian Cheddar (51%) (MILK), Water, Vegetarian Cheese (9%) (MILK), Whey Powder (MILK), Butter (MILK), Emulsifying Salts, MILK Protein, Salt, Colours (Carotene, Paprika Extract).

Ketchup: Tomatoes, Spirit Vinegar, Sugar, Salt, Spice & Herb Extracts.

Mustard: Water, Spirit Vinegar, MUSTARD Seed, Salt, Sugar, Natural Flavouring.

Onions: 100% Onion.

Pickle Slices: Gherkins, Water, Spirit Vinegar, Salt, Firming Agent (Calcium Chloride), Natural Flavouring, Preservative (Potassium Sorbate).","Wheat, Milk, Sesame, Mustard",true,true,
McChicken Sandwich,McDonald's,,Fast Food,Chicken,388,15,40,18,2,2,5,780,152,1 sandwich,"McChicken Bun: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Water, Sugar, Cream Yeast, SESAME Seeds, Vegetable Oil (Rapeseed, Coconut), Salt, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Pea Protein, Antioxidant (Ascorbic Acid), Maize Maltodextrin, Natural Flavouring.

Chicken Patty: Chicken Breast Meat (52%), Water, WHEAT Flour, Vegetable Oils (Sunflower, Rapeseed), Modified Starch (Maize), Salt, Flavourings (contain CELERY), WHEAT Starch, WHEAT Gluten, Dextrose, Spices, Raising Agents (Diphosphates, Sodium Bicarbonate), Stabiliser (Sodium Tripolyphosphate), Pepper, Maltodextrin.

Lettuce: 100% Iceberg Lettuce.

Sandwich Sauce: Water, Rapeseed Oil, Spirit Vinegar, Modified Maize Starch, Sugar, Free Range EGG Yolk, Salt, MUSTARD Flour, Concentrated Lemon Juice, Onion Powder, Thickener (Xanthan Gum), Natural Flavourings, Antioxidant (Calcium Disodium EDTA).","Wheat, Sesame, Eggs, Mustard, Celery",true,true,
Filet-O-Fish,McDonald's,,Fast Food,Fish,329,14,34,15,3,1,5,580,136,1 sandwich,"Filet-O-Fish Bun: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Water, Sugar, Cream Yeast, Vegetable Oil (Rapeseed, Coconut), Salt, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Pea Protein, Antioxidant (Ascorbic Acid), Natural Flavouring.

Fish Fillet: FISH (Alaska Pollock) (52%), Breadcrumb Coating (WHEAT Flour, Water, Potato Starch, Salt, WHEAT Starch, Colours (Paprika Extract, Turmeric Extract), Yeast, Dextrose, WHEAT Gluten, Raising Agent (Ammonium Bicarbonate), Spices (contains CELERY), Spice Extracts).

Cheddar Cheese Slice: Vegetarian Cheddar (51%) (MILK), Water, Vegetarian Cheese (9%) (MILK), Whey Powder (MILK), Butter (MILK), Emulsifying Salts, MILK Protein, Salt, Colours (Carotene, Paprika Extract).

Tartar Sauce: Water, Rapeseed Oil, Gherkin, Spirit Vinegar, Modified Maize Starch, Free Range EGG Yolk, Sugar, Salt, Capers, Thickener (Xanthan Gum), Natural Flavourings, Preservative (Potassium Sorbate), Onion Powder, Spice Extract, Antioxidant (Calcium Disodium EDTA).","Wheat, Fish, Milk, Eggs, Celery",true,true,
Cheeseburger,McDonald's,,Fast Food,Burgers,301,16,31,12,6,1,7,720,118,1 burger,"Fresh Ground Beef: 100% British Beef, hand-formed into patties. Cooked to order.

American Cheese: Cows' MILK, Milk Fat, Salt, Emulsifiers, Colours (Annatto).

Sesame Seed Bun: WHEAT Flour, Water, Sugar, SESAME Seeds, Yeast, Vegetable Oil, Salt.

Toppings (customisable): Lettuce, Pickles, Tomatoes, Grilled Onions, Grilled Mushrooms, Raw Onions, Jalapeño Peppers, Green Peppers, Ketchup, Mustard, Mayonnaise, Relish, A.1. Steak Sauce, BBQ Sauce, Hot Sauce.","Wheat, Milk, Sesame, Eggs (mayo), Mustard",true,true,
Double Cheeseburger,McDonald's,,Fast Food,Burgers,445,26,32,23,11,1,7,1050,168,1 burger,"Regular Bun: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Water, Sugar, Vegetable Oil (Rapeseed), Yeast, Salt, Emulsifier (E481), WHEAT Gluten, Preservative (Calcium Propionate).

Beef Patties: Two 100% Pure Beef patties. A little salt and pepper is added to season after cooking.

Cheddar Cheese Slices: Vegetarian Cheddar (51%) (MILK), Water, Vegetarian Cheese (9%) (MILK), Whey Powder (MILK), Butter (MILK), Emulsifying Salts, MILK Protein, Salt, Colours.

Ketchup: Tomatoes, Spirit Vinegar, Sugar, Salt, Spice Extracts.

Mustard: Water, Spirit Vinegar, MUSTARD Seed, Salt, Sugar.

Onions: 100% Dehydrated Onion, rehydrated.

Pickle Slices: Gherkins, Water, Spirit Vinegar, Salt, Firming Agent, Natural Flavouring, Preservative.","Wheat, Milk, Mustard",true,true,
Hamburger,McDonald's,,Fast Food,Burgers,250,13,30,8,3,1,6,510,104,1 burger,"Regular Bun: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Water, Sugar, Vegetable Oil (Rapeseed), Yeast, Salt, Emulsifier (E481), WHEAT Gluten, Preservative (Calcium Propionate).

Beef Patty: 100% Pure Beef. A little salt and pepper is added to season after cooking.

Ketchup: Tomatoes, Spirit Vinegar, Sugar, Salt, Spice Extracts.

Mustard: Water, Spirit Vinegar, MUSTARD Seed, Salt, Sugar.

Onions: 100% Dehydrated Onion, rehydrated.

Pickle Slices: Gherkins, Water, Spirit Vinegar, Salt, Firming Agent (Calcium Chloride), Natural Flavouring, Preservative (Potassium Sorbate).","Wheat, Mustard",true,true,
McDouble,McDonald's,,Fast Food,Burgers,395,23,31,19,9,1,7,920,155,1 burger,"Two beef patties, bun, cheese slice, onions, pickles, ketchup, mustard","Wheat, Milk, Sesame",true,true,
Big Tasty,McDonald's,,Fast Food,Burgers,812,44,52,48,20,3,11,1200,290,1 burger,"Big Tasty Bun: WHEAT Flour, Water, Sugar, SESAME Seeds, Vegetable Oil, Yeast, Salt, Emulsifiers, WHEAT Gluten, Pea Protein.

Large Beef Patty: 100% Pure Beef (larger patty). A little salt and pepper is added to season after cooking.

Big Tasty Sauce: Rapeseed Oil, Water, Tomato Purée, Spirit Vinegar, Sugar, Free Range EGG Yolk, MUSTARD (Water, Spirit Vinegar, MUSTARD Seed, Salt), Onion, Salt, Modified Maize Starch, Smoke Flavouring, Garlic, Spices, Thickener (Xanthan Gum), Paprika Extract, Caramelised Sugar.

Cheddar Cheese: Vegetarian Cheddar (MILK), Emulsifying Salts, Salt, Colours.

Lettuce: 100% Iceberg Lettuce.

Tomato: Fresh Sliced Tomato.

Onion: Fresh Sliced Onion.","Wheat, Milk, Sesame, Eggs, Mustard",true,true,
